18禁	18禁 🔞
Romania	Romania 🇷🇴
Ross	Ross 罗斯
Russia	Russia 🇷🇺
Rwanda	Rwanda 🇷🇼
SOS	SOS 🆘
SUV	SUV 🚙
Sahara	Sahara 🇪🇭
Samoa	Samoa 🇼🇸
Senegal	senegal 🇸🇳
Serbia	Serbia 🇷🇸
Sheldon	Sheldon 谢尔顿 谢耳朵
Singapore	Singapore 🇸🇬
Slovakia	Slovakia 🇸🇰
Slovenia	Slovenia 🇸🇮
Somalia	Somalia 🇸🇴
Spain	Spain 🇪🇸
Sudan	Sudan 🇸🇩
Swaziland	Swaziland 🇸🇿
Sweden	Sweden 🇸🇪
Switzerland	Switzerland 🇨🇭
Syria	Syria 🇸🇾
TM	TM ™
TV	TV 📺
Tajikistan	Tajikistan 🇹🇯
Tanzania	Tanzania 🇹🇿
Thailand	Thailand 🇹🇭
Thanos	Thanos 灭霸
Togo	Togo 🇹🇬
Tonga	Tonga 🇹🇴
Tunisia	Tunisia 🇹🇳
Turkey	Turkey 🇹🇷
Turkmenistan	Turkmenistan 🇹🇲
Twitter	Twitter 𝕏
T恤	T恤 👕 T恤 👕
T恤衫	T恤衫 👕 T恤衫 👕
UFO	UFO 🛸
Uganda	Uganda 🇺🇬
Ukraine	Ukraine 🇺🇦
Uruguay	Uruguay 🇺🇾
Uzbekistan	Uzbekistan 🇺🇿
Vatican	Vatican 🇻🇦
Venezuela	Venezuela 🇻🇪
Vietnam	Vietnam 🇻🇳
Vs.	Vs. 🆚
WC	WC 🚾
WIFI	WIFI 🛜
Wi-Fi	Wi-Fi 🛜
WiFi	WiFi 🛜
X光	X光 🩻 X光 🩻 X光 🩻
X光片	X光片 🩻
X射线	X射线 🩻
Yemen	Yemen 🇾🇪
ZZZ	ZZZ 💤
Zambia	Zambia 🇿🇲
Zimbabwe	Zimbabwe 🇿🇼
[捂脸]	[捂脸] 🫣 つ﹏⊂
a	a A ㄚ あ ア ā á ǎ à Å Ā Á Ă À ⓐ Ⓐ 🄰 🅐 🅰 ⒜ 🄐 🇦 𝒶 𝒜 𝓪 𝓐 𝔞 𝔄 𝖆 𝕬 a̶̶ A̶ 𝚊 𝙰 𝕒 𝔸 ȁ â ă ȃ ȧ ä å ã ₐ ᵃ ª ⱥ ꬰ ả ą ạ ḁ ẚ ấ ầ ẫ ẩ ắ ằ ẵ ẳ ǡ ǟ ǻ ậ ặ ᶏ ɐ ᵄ ɑ ᵅ ᶐ ɒ ᶛ Ȁ Â Ȃ Ȧ Ä Ã ᴀ ᴬ Ⱥ Ả Ą Ạ Ḁ Ấ Ầ Ẫ Ẩ Ắ Ằ Ẵ Ẳ Ǡ Ǟ Ǻ Ậ Ặ Ɐ Ɑ Ɒ
aa	aa ꜳ Ꜳ
abc	abc 🔤
abcd	abcd 🔡
ac	ac Ac 锕 Actinium 89 227
action	action 🎬
ae	ae æ ǣ ǽ ᵆ ᴂ Æ Ǣ Ǽ ᴭ ᴁ
ag	ag Ag 银 Silver 47 107.9
ai	ai ㄞ
al	al Al 铝 Aluminum 13 26.98
aleph	aleph א aleph ℵ
alpha	alpha Α 𝛢 α 𝛼 alpha α Α
am	am Am 镅 Americium 95 243
an	an ㄢ
ang	ang ㄤ
angry	angry 😡 😠 💢
ankh	ankh ☥
ao	ao ㄠ ꜵ Ꜵ
ar	ar Ar 氩 Argon 18 39.95
as	as As 砷 Arsenic 33 74.92
at	at @ At 砹 Astatine 85 210
atled	atled ∇
atom	atom ⚛️
au	au Au 金 Gold 79 197 ꜷ Ꜷ
av	av ꜹ ꜻ Ꜹ Ꜻ
ay	ay ꜽ Ꜽ
b	b B 硼 Boron 5 10.81 ㄅ ⓑ Ⓑ 🄱 🅑 🅱 ⒝ 🄑 🇧 𝒷 ℬ 𝓫 𝓑 𝔟 𝔅 𝖇 𝕭 b̶ B̶ 𝚋 𝙱 𝕓 𝔹 ḃ ḅ ᵇ ƀ ƃ  ḇ ɓ ᵬ ᶀ ꞗ Ḃ Ḅ ʙ ᴃ ᴮ ᴯ Ƀ Ƃ  Ḇ Ɓ  Ꞗ
ba	ba Ba 钡 Barium 56 137.3 ば バ
baby	baby 👶
back	back 🔙
backspace	backspace ⌫
be	be Be 铍 Beryllium 4 9.012 べ ベ
beng	beng ㄅㄥ
beta	beta Β 𝛣 β 𝛽 beta β Β
bh	bh Bh 𬭛 Bohrium 107 264
bi	bi Bi 铋 Bismuth 83 209 び ビ
bikini	bikini 👙
bingo	bingo (o゜▽゜)o☆[BINGO!]
bk	bk Bk 锫 Berkelium 97 247
bo	bo ㄅㄛ ぼ ボ
boom	boom 💣
br	br Br 溴 Bromine 35 79.90
bu	bu ぶ ブ
bug	bug 🐛
bya	bya びゃ ビャ
bye	bye ヾ(￣▽￣)Bye~Bye~ (ToT)/~~~
byo	byo びょ ビョ
byu	byu びゅ ビュ
c	c C 碳 Carbon 6 12.01 ㄘ ℃ ⓒ Ⓒ ©️ 🄲 🅒 🅲 ⒞ 🄒 🇨 𝒸 𝒞 𝓬 𝓒 𝔠 ℭ 𝖈 𝕮 c̶ C̶ 𝚌 𝙲 𝕔 ℂ ç Ç ć č ĉ ċ ᶜ ȼ ꞓ ƈ  ḉ ꞔ ɕ ᶝ ꜿ Ć Č Ĉ Ċ ᴄ Ȼ Ꞓ Ƈ Ḉ Ꜿ
ca	ca Ca 钙 Calcium 20 40.08
cafe	cafe café
cd	cd Cd 镉 Cadmium 48 112.4
ce	ce Ce 铈 Cerium 58 140 せﾟ セﾟ
cf	cf Cf 锎 Californium 98 251
ch	ch ㄔ
cha	cha ちゃ チャ
che	che ちぇ チェ
chi	chi Χ 𝛸 χ 𝜒 ㄔ ち チ chi χ Χ
cho	cho ちょ チョ
chu	chu ちゅ チュ
ci	ci ㄘ
cl	cl Cl 氯 Chlorine 17 35.45
clear	clear 🆑
cliche	cliche cliché
cloud	cloud ☁️
cm	cm Cm 锔 Curium 96 247
cmd	cmd Command ⌘
cn	cn Cn 鿔 Copernicium 112 277
co	co Co 钴 Cobalt 27 58.93
command	command ⌘
control	control ⌃
cookie	cookie 🍪
cookies	cookies 🍪
cool	cool 🆒
copyright	copyright ©
cr	cr Cr 铬 Chromium 24 52.00
cs	cs Cs 铯 Cesium 55 133
cu	cu Cu 铜 Copper 29 63.55
d	d D ㄉ 'd ⓓ Ⓓ 🄳 🅓 🅳 ⒟ 🄓 🇩 𝒹 𝒟 𝓭 𝓓 𝔡 𝔇 𝖉 𝕯 d̶ D̶ 𝚍 𝙳 𝕕 𝔻 ď ḋ ᵈ đ ƌ ᵭ ḑ ḓ ḏ ḍ ɖ ɗ ᶑ ᶁ ð ᶞ ꝱ ʤ ʣ ʥ ȡ ƍ ǳ ǆ ẟ Ď Ḋ ᴅ ᴆ ᴰ Đ Ƌ Ḑ Ḓ Ḏ Ḍ Ɖ Ɗ Ð Ǳ ǲ Ǆ ǅ
da	da だ ダ
dagger	dagger † ‡ 🗡
db	db Db 𬭊 Dubnium 105 262 ȸ
de	de で デ
del	del ∇
delete	delete ⌫
delta	delta Δ 𝛥 δ 𝛿 delta δ Δ
di	di でぃ ディ
do	do ど ド
ds	ds Ds 𫟼 Darmstadtium 110 269
du	du どぅ ドゥ
dy	dy Dy 镝 Dysprosium 66 162.5
dya	dya でゃ デャ
dyo	dyo でょ デョ
dyu	dyu でゅ デュ
e	e E ㄜ ㄝ え エ ē é ě è Ē É Ĕ È ⓔ Ⓔ 🄴 🅔 🅴 ⒠ 🄔 🇪 ℯ ℰ 𝓮 𝓔 𝔢 𝔈 𝖊 𝕰 e̶ E̶ 𝚎 𝙴 𝕖 𝔼 ȅ ê ĕ ȇ ê̄ ê̌ ė ë ẽ ₑ ᵉ ɇ ꬳ ẻ ȩ ę ḙ ẹ ḛ ḗ ḕ ế ề ễ ể ḝ ệ ᶒ ꬴ ɘ ə ɚ ᶕ ɛ ᵋ ᶓ ɜ ᵌ ᴈ ᶟ ɝ ᶔ ɞ ʚ ǝ ₔ ᵊ ȝ ⱸ Ȅ Ê Ĕ Ȇ Ê̄ Ê̌ Ė Ë Ẽ ᴇ ᴱ Ɇ Ẻ Ȩ Ę Ḙ Ẹ Ḛ Ḗ Ḕ Ế Ề Ễ Ể Ḝ Ệ Ə Ɛ Ɜ Ǝ ⱻ ᴲ Ȝ
ei	ei ㄟ
eject	eject ⏏
email	email 📧
en	en ㄣ
end	end 🔚
eng	eng ㄥ
enter	enter ⏎
epsilon	epsilon Ε 𝛦 ε 𝜀 ϵ 𝜖 epsilon ε Ε
er	er Er 铒 Erbium 68 167 ㄦ
es	es Es 锿 Einsteinium 99 252
eta	eta Η 𝛨 η 𝜂 eta η Η
eu	eu Eu 铕 Europium 63 152
f	f F 氟 Fluorine 9 19.00 ㄈ ℉ ⓕ Ⓕ 🄵 🅕 🅵 ⒡ 🄕 🇫 𝒻 ℱ 𝓯 𝓕 𝔣 𝔉 𝖋 𝕱 f̶ F̶ 𝚏 𝙵 𝕗 𝔽 ḟ ᶠ ƒ ᵮ ᶂ ꞙ Ḟ ꜰ Ƒ Ꞙ ꟻ
fa	fa ふぁ ファ
fe	fe Fe 铁 Iron 26 55.85 ふぇ フェ
feng	feng ㄈㄥ
ff	ff ﬀ
ffi	ffi ﬃ
ffl	ffl ﬄ
fi	fi ふぃ フィ ﬁ
fiance	fiance fiancé
fight	fight ⚔️
fl	fl Fl 𫓧 Flerovium 114 289 ﬂ
fm	fm Fm 镄 Fermium 100 257
fn	fn ʩ
fo	fo ㄈㄛ ふぉ フォ
fr	fr Fr 钫 Francium 87 223
free	free 🆓
fu	fu ふ フ
fya	fya ふゃ フャ
fyo	fyo ふょ フョ
fyu	fyu ふゅ フュ
g	g G ㄍ ⓖ Ⓖ 🄶 🅖 🅶 ⒢ 🄖 🇬 ℊ 𝒢 𝓰 𝓖 𝔤 𝔊 𝖌 𝕲 g̶ G̶ 𝚐 𝙶 𝕘 𝔾 ḡ ǵ ǧ ĝ ğ ġ ᵍ ǥ ꞡ ģ ɠ ᵷ ᶃ ɡ ꬶ ᶢ ɣ ˠ ɤ ᵹ Ḡ Ǵ Ǧ Ĝ Ğ Ġ ʛ ᴳ Ǥ Ꞡ Ģ Ɠ Ɡ Ɣ
ga	ga Ga 镓 Gallium 31 69.72 が ガ
gamma	gamma Γ 𝛤 γ 𝛾 gamma γ Γ
gd	gd Gd 钆 Gadolinium 64 157
ge	ge Ge 锗 Germanium 32 72.63 げ ゲ
gi	gi ぎ ギ
gn	gn ㄬ
go	go ご ゴ
gu	gu ぐ グ
gwa	gwa ぐゎ グヮ
gya	gya ぎゃ ギャ
gyo	gyo ぎょ ギョ
gyu	gyu ぎゅ ギュ
h	h H 氢 Hydrogen 1 1.008 ㄏ ⓗ Ⓗ 🄷 🅗 🅷 ⒣ 🄗 🇭 ℏ ħ Ħ 𝒽 ℋ 𝓱 𝓗 𝔥 ℌ 𝖍 𝕳 h̶ H̶ 𝚑 𝙷 𝕙 ℍ ĥ ȟ ḣ ḧ ͪ ħ ɦ ʱ ꜧ ꭜ ɧ ḩ ẖ ḫ ḥ ⱨ ꞕ ɥ ᶣ ʮ ʯ ⱶ Ĥ Ȟ Ḣ Ḧ ʜ ᴴ Ħ Ɦ Ꜧ Ḩ Ḫ Ḥ Ⱨ Ɥ Ⱶ
ha	ha は ハ
hbar	hbar ℏ ħ
he	he He 氦 Helium 2 4.003 へ ヘ
hf	hf Hf 铪 Hafnium 72 178.5
hg	hg Hg 汞 Mercury 80 200.6
hi	hi ひ ヒ
ho	ho Ho 钬 Holmium 67 165 ほ ホ
hs	hs Hs 𬭶 Hassium 108 265
hu	hu ほぅ ホゥ
hv	hv ƕ Ƕ
hya	hya ひゃ ヒャ
hyo	hyo ひょ ヒョ
hyu	hyu ひゅ ヒュ
i	i I 碘 Iodine 53 126.9 ㄧ い イ ī í ǐ ì Ī Í Ĭ Ì ⓘ Ⓘ 🄸 🅘 🅸 ⒤ 🄘 🇮 𝒾 ℐ 𝓲 𝓘 𝔦 ℑ 𝖎 𝕴 i̶ I̶ 𝚒 𝙸 𝕚 𝕀 ȉ î ĭ ȋ ï ĩ ᵢ ı ɨ ᶤ ỉ į ị ḭ ᴉ ᵎ ḯ ᶖ ɩ ᶥ ᵼ Ȉ Î Ĭ Ȋ Ï Ĩ ɪ ᴵ ᶦ Ɨ ᵻ ᶧ Ỉ Į Ị Ḭ Ḯ Ɩ ꟾ
ian	ian ㄧㄢ
ij	ij ĳ Ĳ
in	in In 铟 Indium 49 114.8 ㄧㄣ
info	info ℹ️
information	information ℹ️
ing	ing ㄧㄥ
iong	iong ㄩㄥ
iota	iota Ι 𝛪 ι 𝜄 iota ι Ι
ir	ir Ir 铱 Iridium 77 192
iu	iu ㄧㄡ
i次幂	i次幂 ⁱ
i次方	i次方 ⁱ
j	j J ㄐ ⓙ Ⓙ 🄹 🅙 🅹 ⒥ 🄙 🇯 𝒿 𝒥 𝓳 𝓙 𝔧 𝔍 𝖏 𝕵 j̶ J̶ 𝚓 𝙹 𝕛 𝕁 ĵ ǰ ⱼ ʲ ɉ ȷ ɟ ᶡ ʄ ʝ ᶨ Ĵ ᴊ ᴶ Ɉ Ʝ
ja	ja じゃ ジャ
je	je じぇ ジェ
ji	ji じ ジ ぢ ヂ
jo	jo じょ ジョ
joker	joker 🃏
ju	ju じゅ ジュ
k	k K 钾 Potassium 19 39.10 ㄎ ⓚ Ⓚ 🄺 🅚 🅺 ⒦ 🄚 🇰 𝓀 𝒦 𝓴 𝓚 𝔨 𝔎 𝖐 𝕶 k̶ K̶ 𝚔 𝙺 𝕜 𝕂 ḱ k̂ ǩ ₖ ᵏ ꝁ ꝃ ꞣ ꝅ ķ ḵ ḳ ƙ ᶄ ⱪ ʞ ĸ Ḱ Ǩ ᴋ ᴷ Ꝁ Ꝃ Ꞣ Ꝅ Ķ Ḵ Ḳ Ƙ Ⱪ Ʞ ㉿
ka	ka か カ
kappa	kappa Κ 𝛫 κ 𝜅 ϰ 𝜘 kappa κ Κ
ke	ke け ケ
ki	ki き キ
king	king 🫅
kiss	kiss 💋
ko	ko こ コ
kr	kr Kr 氪 Krypton 36 83.80
ku	ku く ク
kwa	kwa くぁ クァ くゎ クヮ
kwe	kwe くぇ クェ
kwi	kwi くぃ クィ
kwo	kwo くぉ クォ
kwya	kwya くゃ クャ
kwyo	kwyo くょ クョ
kwyu	kwyu くゅ クュ
kya	kya きゃ キャ
kyo	kyo きょ キョ
kyu	kyu きゅ キュ
l	l L ㄌ ⓛ Ⓛ 🄻 🅛 🅻 ⒧ 🄛 🇱 𝓁 ℒ 𝓵 𝓛 𝔩 𝔏 𝖑 𝕷 l̶ L̶ 𝚕 𝙻 𝕝 𝕃 ĺ ˡ ł ꝉ ƚ ⱡ ɫ ꭞ ꬸ ɬ ľ ļ ḻ ḽ ḷ ŀ ꝲ ƛ ᶅ ᶪ ɭ ᶩ ḹ ꬷ ꭝ ꬹ ȴ ꝇ Ĺ ʟ ᶫ Ƚ Ꝉ Ł ᴌ Ⱡ Ɫ Ɬ Ľ Ļ Ḻ Ḽ Ḷ Ŀ Ꝇ
la	la La 镧 Lanthanum 57 139 らﾟ ラﾟ
lambda	lambda Λ 𝛬 λ 𝜆 lambda λ Λ
lambda演算	lambda演算 λ演算
le	le れﾟ レﾟ
li	li Li 锂 Lithium 3 6.941 りﾟ リﾟ
link	link 🔗
lj	lj ǉ
ll	ll ỻ Ỻ
lo	lo ろﾟ ロﾟ
love	love 💓 💕 👩‍❤️‍👨 ♥️
lr	lr Lr 铹 Lawrencium 103 260
ls	ls ʪ
lu	lu Lu 镥 Lutetium 71 175 るﾟ ルﾟ
lv	lv Lv 𫟷 Livermorium 116 293
lya	lya りﾟゃ リﾟャ
lyo	lyo りﾟょ リﾟョ
lyu	lyu りﾟゅ リﾟュ
lz	lz ʫ ɮ
m	m M ㄇ ㆬ ⓜ Ⓜ 🄼 🅜 🅼 ⒨ 🄜 🇲 𝓂 ℳ 𝓶 𝓜 𝔪 𝔐 𝖒 𝕸 m̶ M̶ 𝚖 𝙼 𝕞 𝕄 m̄ ḿ m̀ ṁ ᵐ ₘ ṃ ᵯ ɱ ᶬ ꬺ ᶆ ꝳ ɯ ᵚ ɰ ᶭ ᴟ M̄ Ḿ M̀ Ṁ ᴍ ᴹ Ṃ Ɱ Ɯ ꟽ ꟿ
ma	ma ま マ
map	map 🗺️
mc	mc Mc 镆 Moscovium 115 289
md	md Md 钔 Mendelevium 101 258
me	me め メ
meng	meng ㄇㄥ
mg	mg Mg 镁 Magnesium 12 24.31
mi	mi み ミ
mn	mn Mn 锰 Manganese 25 54.94
mo	mo Mo 钼 Molybdenum 42 95.96 ㄇㄛ も モ
money	money 💰
mt	mt Mt 鿏 Meitnerium 109 266
mu	mu Μ 𝛭 μ 𝜇 む ム mu μ Μ
mya	mya みゃ ミャ
myo	myo みょ ミョ
myu	myu みゅ ミュ
n	n N 氮 Nitrogen 7 14.01 ㄋ ㄯ ん ン ⓝ Ⓝ 🄽 🅝 🅽 ⒩ 🄝 🇳 𝓃 𝒩 𝓷 𝓝 𝔫 𝔑 𝖓 𝕹 n̶ N̶ 𝚗 𝙽 𝕟 ℕ ń ň ǹ ṅ ñ ₙ ⁿ ɲ ᶮ ɳ ᶯ ȵ ƞ ŋ ᵑ ꬻ ꬼ ꝴ ŉ ꞥ ņ ṉ ṋ ṇ ᵰ ꞑ ᶇ Ń Ň Ǹ Ṅ Ñ ɴ ᴺ ᴻ ᶰ Ɲ Ƞ Ŋ Ņ Ṉ Ṋ Ṇ Ꞑ
na	na Na 钠 Sodium 11 22.99 な ナ
nabla	nabla ∇
nabla算子	nabla算子 ∇
naive	naive naïve
nb	nb Nb 铌 Niobium 41 92.91
nd	nd Nd 钕 Neodymium 60 144
ne	ne Ne 氖 Neon 10 20.18 ね ネ
new	new 🆕
ng	ng ㄫ ㆭ
nga	nga かﾟ  カﾟ
nge	nge けﾟ ケﾟ
ngi	ngi きﾟ キﾟ
ngo	ngo こﾟ コﾟ
ngu	ngu くﾟ クﾟ
ngwa	ngwa くﾟゎ クﾟヮ
ngya	ngya きﾟゃ キﾟャ
ngyo	ngyo きﾟょ キﾟョ
ngyu	ngyu きﾟゅ キﾟュ
nh	nh Nh 鿭 Nihonium 113 286
ni	ni Ni 镍 Nickel 28 58.69 に ニ
nj	nj ǌ ǋ Ǌ
no	no No 锘 Nobelium 102 259 の ノ 🙅‍♂ 🙅 🙅‍♀ 🆖 🙅🏻‍♂️ 🙅🏼‍♂️ 🙅🏽‍♂️ 🙅🏾‍♂️ 🙅🏿‍♂️ 🙅🏻 🙅🏼 🙅🏽 🙅🏾 🙅🏿 🙅🏻‍♀️ 🙅🏼‍♀️ 🙅🏽‍♀️ 🙅🏾‍♀️ 🙅🏿‍♀️
np	np Np 镎 Neptunium 93 237
nu	nu Ν 𝛮 ν 𝜈 ぬ ヌ nu ν Ν
number	number №
nya	nya にゃ ニャ
nyo	nyo にょ ニョ
nyu	nyu にゅ ニュ
n次幂	n次幂 ⁿ
n次方	n次方 ⁿ
